picker_id,first_name,last_name,full_name,gender,age,phone_number,email,community,store_id,store_node_id,store_name,store_location,service_zone,picker_segment,role,shift_type,shift_start,shift_end,experience_months,join_date,status,last_active,avg_picking_time_sec,items_per_hour,daily_orders_picked,accuracy_rate,mispick_rate,total_orders_picked,total_items_picked,total_mispicks,hourly_rate,total_earnings,total_hours_worked,zone_familiarity,multitask_ability,physical_fitness,temperature_zone_trained,fragile_handling_certified
PKR-8E147B57,Teja,Nayak,Teja Nayak,M,27,+917978769015,teja97@yahoo.com,TELUGU,HYD-DS-034,34,Ashok Bazar Dark Store,Ashok Bazar,Central,NEW_JOINER,TRAINEE_PICKER,TRAINING,14:00,18:00,0,2024-12-01,TRAINING,2024-12-02 01:00,31.5,74,29,0.9574,0.0426,0,0,0,48.74,0,0,0.37,LOW,EXCELLENT,False,True
PKR-B6FD8D57,Kumar,Rao,Kumar Rao,M,24,+919557534193,kumar00@gmail.com,TELUGU,HYD-DS-036,36,Hill Colony Dark Store,Hill Colony,Central,FULL_TIME_REGULAR,TRAINEE_PICKER,FULL_TIME,10:00,18:00,4,2024-08-03,ACTIVE,2024-12-02 20:00,16.4,179,74,0.9863,0.0137,4969,39752,544,58.15,31632,544,0.92,MEDIUM,EXCELLENT,True,False
PKR-3A3934F6,Sahil,Gupta,Sahil Gupta,M,21,+917054678209,sahil460@yahoo.com,NORTH,HYD-DS-034,34,Ashok Bazar Dark Store,Ashok Bazar,Central,PART_TIME_STUDENT,TRAINEE_PICKER,PART_TIME,10:00,14:00,1,2024-11-01,ACTIVE,2024-12-01 19:00,29.5,98,70,0.9816,0.0184,1201,14412,265,40.54,2756,68,0.44,HIGH,EXCELLENT,True,False
PKR-F5C3D2BF,Pavan,Reddy,Pavan Reddy,M,26,+917298524054,pavan385@yahoo.com,TELUGU,HYD-DS-051,51,LB Nagar Dark Store,LB Nagar,Southeast,NEW_JOINER,TRAINEE_PICKER,TRAINING,09:00,13:00,2,2024-10-02,PROBATION,2024-12-03 23:00,30.8,97,47,0.9356,0.0644,1909,13363,860,39.16,5795,148,0.34,LOW,EXCELLENT,True,False
PKR-90C0B5F3,Krishna,Kumar,Krishna Kumar,M,24,+919097390541,krishna.kumar@yahoo.com,TELUGU,HYD-DS-031,31,Gokul Nagar Dark Store,Gokul Nagar,Central,NEW_JOINER,TRAINEE_PICKER,TRAINING,14:00,18:00,0,2024-12-01,TRAINING,2024-12-02 19:00,40.8,60,36,0.9353,0.0647,0,0,0,38.35,0,0,0.55,HIGH,AVERAGE,True,True
PKR-96B034D7,Priya,Mudiraj,Priya Mudiraj,F,21,+917716756839,priya563@yahoo.com,TELUGU,HYD-DS-006,6,Hafeezpet Dark Store,Hafeezpet,Northwest,FULL_TIME_REGULAR,PICKER,FULL_TIME,06:00,14:00,14,2023-10-08,ACTIVE,2024-12-02 07:00,14.9,116,119,0.9788,0.0212,31930,159650,3384,45.18,89631,1984,0.85,HIGH,AVERAGE,True,False
PKR-856278DC,Sunil,Kamma,Sunil Kamma,M,24,+918998737297,sunil.kamma@gmail.com,TELUGU,HYD-DS-001,1,Miyapur Dark Store,Miyapur,Northwest,PART_TIME_STUDENT,PICKER,PART_TIME,14:00,18:00,7,2024-05-05,ACTIVE,2024-12-02 02:00,21.5,83,70,0.9624,0.0376,6592,46144,1735,49.45,22153,448,0.92,LOW,EXCELLENT,False,False
PKR-CDB01866,Ramulu,Rao,Ramulu Rao,M,26,+918240945445,ramulu98@gmail.com,TELUGU,HYD-DS-032,32,Ramnagar Dark Store,Ramnagar,Central,FULL_TIME_REGULAR,PICKER,FULL_TIME,14:00,22:00,18,2023-06-10,ACTIVE,2024-12-01 21:00,16.3,153,61,0.987,0.013,19058,228696,2973,46.24,105435,2280,0.75,LOW,AVERAGE,True,True
PKR-463B6E48,Naveen,Mudiraj,Naveen Mudiraj,M,32,+919372535980,naveen.mudiraj@gmail.com,TELUGU,HYD-DS-037,37,Secunderabad Dark Store,Secunderabad,North,FULL_TIME_SENIOR,SENIOR_PICKER,FULL_TIME,14:00,22:00,46,2021-02-20,ACTIVE,2024-12-01 12:00,12.0,154,124,0.992,0.008,72918,583344,4666,61.24,357667,5840,0.95,MEDIUM,GOOD,True,False
PKR-8568CB0B,Jameel,Syed,Jameel Syed,M,26,+919824560689,jameel.syed@rediffmail.com,MUSLIM,HYD-DS-024,24,Attapur Dark Store,Attapur,Southwest,FULL_TIME_REGULAR,PICKER,FULL_TIME,16:00,00:00,6,2024-06-04,ACTIVE,2024-12-02 21:00,19.3,110,102,0.9922,0.0078,11672,81704,637,52.92,47839,904,0.73,HIGH,AVERAGE,True,True
PKR-005519FA,Jameel,Shaikh,Jameel Shaikh,M,24,+919681785297,jameel105@rediffmail.com,MUSLIM,HYD-DS-004,4,Jeedimetla Dark Store,Jeedimetla,Northwest,PART_TIME_STUDENT,PICKER,PART_TIME,06:00,10:00,7,2024-05-05,ACTIVE,2024-12-03 10:00,29.2,94,44,0.983,0.017,5018,60216,1023,44.1,23816,540,0.83,HIGH,EXCELLENT,True,True
PKR-89B8C79A,Mahesh,Kumar,Mahesh Kumar,M,19,+917659256928,mahesh589@yahoo.com,TELUGU,HYD-DS-046,46,Devar Yamjal Dark Store,Devar Yamjal,Northeast (Rangareddy),PART_TIME_STUDENT,PICKER,PART_TIME,06:00,10:00,9,2024-03-06,ACTIVE,2024-12-01 08:00,23.6,140,70,0.9778,0.0222,13453,134530,2986,42.67,32089,752,0.7,MEDIUM,EXCELLENT,True,True
PKR-CC1D58C9,Sahil,Chauhan,Sahil Chauhan,M,22,+918039969721,sahil.chauhan@yahoo.com,NORTH,HYD-DS-023,23,Mehdipatnam Dark Store,Mehdipatnam,Southwest,PART_TIME_STUDENT,PICKER,PART_TIME,20:00,00:00,10,2024-02-05,ACTIVE,2024-12-02 13:00,21.9,109,40,0.9609,0.0391,8324,49944,1952,43.21,33876,784,0.79,HIGH,EXCELLENT,True,True
PKR-39742EC9,Naresh,Kamma,Naresh Kamma,M,18,+918288267770,naresh06@gmail.com,TELUGU,HYD-DS-010,10,Vijaya Nagar Colony Dark Store,Vijaya Nagar Colony,Northwest,NEW_JOINER,TRAINEE_PICKER,TRAINING,14:00,18:00,0,2024-12-01,TRAINING,2024-12-03 04:00,27.8,72,29,0.9624,0.0376,0,0,0,44.89,0,0,0.66,HIGH,EXCELLENT,True,True
PKR-50E9B185,Ajay,Setty,Ajay Setty,M,32,+918753093827,ajay89@gmail.com,TELUGU,HYD-DS-057,57,Charminar Dark Store,Charminar,Old City,FULL_TIME_REGULAR,PICKER,FULL_TIME,07:00,15:00,14,2023-10-08,ACTIVE,2024-12-01 19:00,19.2,164,107,0.9807,0.0193,23750,213750,4125,46.22,85419,1848,0.71,LOW,AVERAGE,True,False
PKR-3DA8CDEE,Rajesh,Padmashali,Rajesh Padmashali,M,22,+919020047056,rajesh02@rediffmail.com,TELUGU,HYD-DS-006,6,Hafeezpet Dark Store,Hafeezpet,Northwest,NEW_JOINER,TRAINEE_PICKER,TRAINING,09:00,13:00,0,2024-12-01,TRAINING,2024-12-02 13:00,34.1,65,32,0.9335,0.0665,0,0,0,39.35,0,0,0.59,HIGH,AVERAGE,True,False
PKR-CB3C1D33,Naseer,Shaikh,Naseer Shaikh,M,24,+918387518588,naseer00@rediffmail.com,MUSLIM,HYD-DS-042,42,Sathya Colony Dark Store,Sathya Colony,North,NEW_JOINER,TRAINEE_PICKER,TRAINING,10:00,14:00,0,2024-12-01,TRAINING,2024-12-01 07:00,31.5,85,28,0.9557,0.0443,0,0,0,38.88,0,0,0.36,MEDIUM,EXCELLENT,True,False
PKR-E5BD5E2A,Kiran,Reddy,Kiran Reddy,M,29,+919438466449,kiran799@yahoo.com,TELUGU,HYD-DS-056,56,Madannapet Colony Dark Store,Madannapet Colony,South,NEW_JOINER,TRAINEE_PICKER,TRAINING,14:00,18:00,0,2024-12-01,TRAINING,2024-12-01 02:00,44.7,78,39,0.9603,0.0397,0,0,0,38.38,0,0,0.38,LOW,EXCELLENT,True,False
PKR-33D79D81,Gopal,Padmashali,Gopal Padmashali,M,25,+919179217516,gopal99@rediffmail.com,TELUGU,HYD-DS-057,57,Charminar Dark Store,Charminar,Old City,PART_TIME_STUDENT,PICKER,PART_TIME,10:00,14:00,7,2024-05-05,ACTIVE,2024-12-01 00:00,21.7,97,45,0.9763,0.0237,5473,27365,648,41.35,18689,452,0.85,LOW,GOOD,False,True
PKR-13E37E8F,Naga,Velama,Naga Velama,M,30,+918352736903,naga94@rediffmail.com,TELUGU,HYD-DS-029,29,Kachiguda Dark Store,Kachiguda,Central,PART_TIME_EVENING,PICKER,PART_TIME,18:00,22:00,16,2023-08-09,ACTIVE,2024-12-02 03:00,24.2,111,45,0.9808,0.0192,14894,163834,3145,54.31,65825,1212,0.93,MEDIUM,EXCELLENT,True,False
PKR-93BF1656,Dinesh,Velama,Dinesh Velama,M,20,+919668235652,dinesh.velama@rediffmail.com,TELUGU,HYD-DS-016,16,Borabanda Dark Store,Borabanda,West,FULL_TIME_REGULAR,PICKER,FULL_TIME,07:00,15:00,11,2024-01-06,ACTIVE,2024-12-03 03:00,19.0,147,88,0.9757,0.0243,15985,79925,1942,57.13,96428,1688,0.74,HIGH,AVERAGE,True,False
PKR-2D19369B,Lokesh,Kapu,Lokesh Kapu,M,34,+918839772717,lokesh368@gmail.com,TELUGU,HYD-DS-028,28,Himayatnagar Dark Store,Himayatnagar,Central,PART_TIME_EVENING,PICKER,PART_TIME,06:00,10:00,20,2023-04-11,ACTIVE,2024-12-03 02:00,21.3,129,57,0.9895,0.0105,20677,206770,2171,57.86,79384,1372,0.94,HIGH,AVERAGE,True,True
PKR-4BCF5F5F,Mahesh,Chetty,Mahesh Chetty,M,24,+917289486444,mahesh00@rediffmail.com,TELUGU,HYD-DS-046,46,Devar Yamjal Dark Store,Devar Yamjal,Northeast (Rangareddy),FULL_TIME_SENIOR,TEAM_LEAD,FULL_TIME,06:00,14:00,23,2023-01-11,ACTIVE,2024-12-02 06:00,11.5,268,100,0.9905,0.0095,34722,416664,3958,52.08,156250,3000,0.98,LOW,EXCELLENT,False,True
PKR-8B9897CE,Sunil,Reddy,Sunil Reddy,M,26,+919812103513,sunil952@gmail.com,TELUGU,HYD-DS-003,3,Kukatpally Dark Store,Kukatpally,Northwest,FULL_TIME_REGULAR,PICKER,FULL_TIME,10:00,18:00,7,2024-05-05,ACTIVE,2024-12-02 02:00,17.9,179,60,0.9838,0.0162,7989,31956,517,59.21,65845,1112,0.7,HIGH,GOOD,True,True
PKR-86B49246,Priya,Velama,Priya Velama,F,25,+918496438175,priya.velama@gmail.com,TELUGU,HYD-DS-055,55,Moosarambagh Dark Store,Moosarambagh,South,PART_TIME_STUDENT,PICKER,PART_TIME,10:00,14:00,9,2024-03-06,ACTIVE,2024-12-01 12:00,15.5,111,36,0.9784,0.0216,4386,39474,852,44.43,26834,604,0.92,MEDIUM,EXCELLENT,True,False
PKR-B3F44FE6,Ajay,Naidu,Ajay Naidu,M,25,+918114377323,ajay.naidu@gmail.com,TELUGU,HYD-DS-002,2,KPHB (Kukatpally Phase B) Dark Store,KPHB (Kukatpally Phase B),Northwest,FULL_TIME_SENIOR,PICKER,FULL_TIME,06:00,14:00,16,2023-08-09,ACTIVE,2024-12-03 06:00,8.4,196,107,0.9928,0.0072,35167,211002,1519,61.15,162893,2664,0.73,LOW,EXCELLENT,True,True
PKR-EFD599FE,Sana,Baig,Sana Baig,F,32,+918940587644,sana92@gmail.com,MUSLIM,HYD-DS-014,14,Kondapur Dark Store,Kondapur,West,FULL_TIME_REGULAR,TRAINEE_PICKER,FULL_TIME,12:00,20:00,4,2024-08-03,ACTIVE,2024-12-03 17:00,21.3,178,78,0.9771,0.0229,5430,27150,621,58.8,35749,608,0.94,LOW,EXCELLENT,True,True
PKR-FB9B20AA,Pankaj,Sharma,Pankaj Sharma,M,20,+918165704075,pankaj.sharma@gmail.com,NORTH,HYD-DS-049,49,Peerzadiguda Dark Store,Peerzadiguda,East,NEW_JOINER,TRAINEE_PICKER,TRAINING,10:00,14:00,0,2024-12-01,TRAINING,2024-12-02 13:00,43.9,40,23,0.9387,0.0613,0,0,0,39.69,0,0,0.68,LOW,EXCELLENT,False,True
PKR-41665D7F,Ismail,Ansari,Ismail Ansari,M,38,+918916680277,ismail.ansari@yahoo.com,MUSLIM,HYD-DS-032,32,Ramnagar Dark Store,Ramnagar,Central,FULL_TIME_SENIOR,SENIOR_PICKER,FULL_TIME,16:00,00:00,22,2023-02-10,ACTIVE,2024-12-02 19:00,10.2,226,126,0.9856,0.0144,47027,423243,6094,56.3,163933,2912,0.71,MEDIUM,EXCELLENT,True,False
PKR-24474101,Srinu,Munnuru,Srinu Munnuru,M,25,+919423503121,srinu.munnuru@rediffmail.com,TELUGU,HYD-DS-024,24,Attapur Dark Store,Attapur,Southwest,PART_TIME_STUDENT,TRAINEE_PICKER,PART_TIME,18:00,22:00,3,2024-09-02,ACTIVE,2024-12-03 11:00,29.6,105,38,0.9761,0.0239,2121,19089,456,45.6,9484,208,0.48,MEDIUM,EXCELLENT,True,True
PKR-BE39E73C,Krishna,Padmashali,Krishna Padmashali,M,18,+917514036177,krishna06@gmail.com,TELUGU,HYD-DS-012,12,IDPL Colony Dark Store,IDPL Colony,Northwest,NEW_JOINER,TRAINEE_PICKER,TRAINING,09:00,13:00,2,2024-10-02,ACTIVE,2024-12-01 07:00,31.9,80,32,0.9462,0.0538,844,7596,408,41.44,5469,132,0.68,HIGH,AVERAGE,True,False
PKR-8EB5691D,Mallesh,Kapu,Mallesh Kapu,M,20,+917712069528,mallesh.kapu@yahoo.com,TELUGU,HYD-DS-010,10,Vijaya Nagar Colony Dark Store,Vijaya Nagar Colony,Northwest,PART_TIME_STUDENT,TRAINEE_PICKER,PART_TIME,10:00,14:00,5,2024-07-04,ACTIVE,2024-12-03 08:00,15.0,82,36,0.9783,0.0217,2720,32640,708,51.3,17030,332,0.97,HIGH,EXCELLENT,True,False
PKR-70AB2CC5,Karan,Kumar,Karan Kumar,M,23,+917928315778,karan238@yahoo.com,NORTH,HYD-DS-054,54,Meerpet Dark Store,Meerpet,Southeast,FULL_TIME_REGULAR,PICKER,FULL_TIME,07:00,15:00,14,2023-10-08,ACTIVE,2024-12-01 09:00,14.7,190,95,0.9925,0.0075,20435,204350,1532,52.27,110803,2120,0.85,HIGH,GOOD,True,True
PKR-EB8E598F,Azhar,Mirza,Azhar Mirza,M,25,+917643147810,azhar99@gmail.com,MUSLIM,HYD-DS-009,9,Chaitanya Enclave Dark Store,Chaitanya Enclave,Northwest,FULL_TIME_SENIOR,PICKER,FULL_TIME,10:00,18:00,15,2023-09-08,ACTIVE,2024-12-01 05:00,11.0,242,144,0.9898,0.0102,39511,158044,1612,65.67,158121,2408,0.96,LOW,AVERAGE,True,False
PKR-9AF60DBD,Ashok,Yadav,Ashok Yadav,M,20,+919375610089,ashok935@gmail.com,TELUGU,HYD-DS-047,47,Nagaram Dark Store,Nagaram,East,FULL_TIME_REGULAR,PICKER,FULL_TIME,10:00,18:00,13,2023-11-07,ACTIVE,2024-12-01 11:00,12.2,129,102,0.9827,0.0173,29884,268956,4652,58.58,126538,2160,0.89,MEDIUM,EXCELLENT,True,False
PKR-30940FAD,Krishna,Kumar,Krishna Kumar,M,18,+917092266512,krishna.kumar@gmail.com,TELUGU,HYD-DS-028,28,Himayatnagar Dark Store,Himayatnagar,Central,PART_TIME_STUDENT,PICKER,PART_TIME,18:00,22:00,8,2024-04-05,ACTIVE,2024-12-01 05:00,27.9,87,38,0.9548,0.0452,5058,50580,2286,43.82,21557,492,0.98,HIGH,AVERAGE,True,True
PKR-84BA6FE9,Naga,Nayak,Naga Nayak,M,29,+918599811541,naga868@yahoo.com,TELUGU,HYD-DS-051,51,LB Nagar Dark Store,LB Nagar,Southeast,FULL_TIME_SENIOR,QUALITY_CHECKER,FULL_TIME,10:00,18:00,33,2022-03-17,STAR_PERFORMER,2024-12-03 21:00,10.9,230,99,0.9974,0.0026,44515,222575,578,64.03,261743,4088,0.83,HIGH,EXCELLENT,True,False
PKR-4769645D,Naveen,Nayak,Naveen Nayak,M,36,+918064203198,naveen.nayak@rediffmail.com,TELUGU,HYD-DS-028,28,Himayatnagar Dark Store,Himayatnagar,Central,PART_TIME_EVENING,PICKER,PART_TIME,10:00,14:00,11,2024-01-06,ACTIVE,2024-12-02 09:00,16.5,100,75,0.9751,0.0249,12289,61445,1529,57.23,39370,688,0.85,HIGH,AVERAGE,False,True
PKR-10F36AAC,Nagaraju,Goud,Nagaraju Goud,M,39,+918024371513,nagaraju.goud@gmail.com,TELUGU,HYD-DS-037,37,Secunderabad Dark Store,Secunderabad,North,PART_TIME_EVENING,TRAINEE_PICKER,PART_TIME,18:00,22:00,3,2024-09-02,ACTIVE,2024-12-02 21:00,16.2,87,73,0.9925,0.0075,3330,39960,299,46.43,9658,208,0.61,LOW,AVERAGE,True,True
PKR-BE4D3FE7,Kareem,Ali,Kareem Ali,M,37,+919441910121,kareem.ali@gmail.com,MUSLIM,HYD-DS-019,19,Manikonda Dark Store,Manikonda,Southwest,PART_TIME_EVENING,PICKER,PART_TIME,06:00,10:00,10,2024-02-05,ACTIVE,2024-12-02 17:00,23.3,111,41,0.9947,0.0053,8284,66272,351,47.63,35246,740,0.78,HIGH,EXCELLENT,True,True
PKR-63F77F0B,Fatima,Mirza,Fatima Mirza,F,19,+919391627949,fatima.mirza@yahoo.com,MUSLIM,HYD-DS-047,47,Nagaram Dark Store,Nagaram,East,PART_TIME_STUDENT,PICKER,PART_TIME,20:00,00:00,7,2024-05-05,ACTIVE,2024-12-01 05:00,26.1,95,33,0.955,0.045,4300,34400,1548,47.28,25910,548,0.69,MEDIUM,AVERAGE,False,True
PKR-2B18A54F,Salman,Ali,Salman Ali,M,25,+918231191004,salman99@gmail.com,MUSLIM,HYD-DS-053,53,Kothapet Dark Store,Kothapet,Southeast,PART_TIME_STUDENT,PICKER,PART_TIME,19:00,23:00,6,2024-06-04,ACTIVE,2024-12-01 13:00,16.5,86,55,0.9544,0.0456,4321,51852,2364,54.27,20837,384,0.84,LOW,GOOD,True,True
PKR-D7C4297A,Vinod,Kumar,Vinod Kumar,M,22,+919341429193,vinod211@gmail.com,TELUGU,HYD-DS-008,8,Adarsh Nagar Dark Store,Adarsh Nagar,Northwest,FULL_TIME_SENIOR,TEAM_LEAD,FULL_TIME,12:00,20:00,46,2021-02-20,ACTIVE,2024-12-02 09:00,10.4,164,105,0.9934,0.0066,76577,612616,4043,59.33,398711,6720,0.95,LOW,AVERAGE,True,True
PKR-98345440,Irfan,Mirza,Irfan Mirza,M,25,+919763884894,irfan.mirza@yahoo.com,MUSLIM,HYD-DS-043,43,Marthanda Nagar Dark Store,Marthanda Nagar,North,PART_TIME_STUDENT,PICKER,PART_TIME,10:00,14:00,10,2024-02-05,ACTIVE,2024-12-03 14:00,19.5,86,30,0.9711,0.0289,4470,22350,645,53.47,34004,636,0.79,MEDIUM,EXCELLENT,True,True
PKR-8A2197C0,Ganesh,Mudiraj,Ganesh Mudiraj,M,29,+917076318854,ganesh95@gmail.com,TELUGU,HYD-DS-055,55,Moosarambagh Dark Store,Moosarambagh,South,PART_TIME_EVENING,PICKER,PART_TIME,06:00,10:00,12,2023-12-07,ACTIVE,2024-12-01 23:00,18.3,136,55,0.9766,0.0234,14661,117288,2744,50.87,49441,972,0.63,MEDIUM,EXCELLENT,False,True
PKR-89C5561A,Syed,Khan,Syed Khan,M,38,+918648359099,syed881@gmail.com,MUSLIM,HYD-DS-020,20,Financial District Dark Store,Financial District,Southwest,PART_TIME_EVENING,PICKER,PART_TIME,06:00,10:00,6,2024-06-04,ACTIVE,2024-12-03 14:00,16.4,118,44,0.9806,0.0194,4765,42885,831,43.13,18115,420,0.72,LOW,GOOD,True,True
PKR-569B18D0,Dinesh,Velama,Dinesh Velama,M,37,+918162132375,dinesh653@yahoo.com,TELUGU,HYD-DS-010,10,Vijaya Nagar Colony Dark Store,Vijaya Nagar Colony,Northwest,PART_TIME_EVENING,PICKER,PART_TIME,06:00,10:00,17,2023-07-10,ACTIVE,2024-12-02 14:00,17.6,111,47,0.9876,0.0124,14822,118576,1470,51.79,61735,1192,0.61,LOW,AVERAGE,True,True
PKR-572DEAD6,Azhar,Syed,Azhar Syed,M,25,+917139600733,azhar120@gmail.com,MUSLIM,HYD-DS-019,19,Manikonda Dark Store,Manikonda,Southwest,FULL_TIME_REGULAR,PICKER,FULL_TIME,16:00,00:00,17,2023-07-10,ACTIVE,2024-12-03 08:00,15.9,136,78,0.9751,0.0249,23356,186848,4652,57.22,144185,2520,0.81,LOW,GOOD,False,True
PKR-14EE32FF,Asif,Shaikh,Asif Shaikh,M,22,+918635762148,asif908@gmail.com,MUSLIM,HYD-DS-009,9,Chaitanya Enclave Dark Store,Chaitanya Enclave,Northwest,FULL_TIME_REGULAR,PICKER,FULL_TIME,14:00,22:00,16,2023-08-09,ACTIVE,2024-12-02 10:00,14.1,120,111,0.9774,0.0226,27807,139035,3142,48.59,98347,2024,0.66,MEDIUM,EXCELLENT,True,True
PKR-A06C8BE6,Madhu,Kapu,Madhu Kapu,M,21,+917623676217,madhu415@rediffmail.com,TELUGU,HYD-DS-021,21,Kokapet Dark Store,Kokapet,Southwest,PART_TIME_STUDENT,PICKER,PART_TIME,06:00,10:00,8,2024-04-05,ACTIVE,2024-12-01 06:00,27.2,110,54,0.9855,0.0145,7520,60160,872,49.44,30452,616,0.78,MEDIUM,GOOD,True,False
PKR-F154B041,Faisal,Ali,Faisal Ali,M,35,+919622140642,faisal908@gmail.com,MUSLIM,HYD-DS-037,37,Secunderabad Dark Store,Secunderabad,North,FULL_TIME_REGULAR,PICKER,FULL_TIME,06:00,14:00,16,2023-08-09,ACTIVE,2024-12-02 00:00,13.2,176,68,0.9793,0.0207,15475,61900,1281,50.77,112906,2224,0.89,MEDIUM,AVERAGE,True,True
PKR-60CFC8E5,Ismail,Hussain,Ismail Hussain,M,23,+917966514017,ismail133@gmail.com,MUSLIM,HYD-DS-007,7,Moosapet Dark Store,Moosapet,Northwest,PART_TIME_STUDENT,TRAINEE_PICKER,PART_TIME,19:00,23:00,1,2024-11-01,ACTIVE,2024-12-03 08:00,18.8,121,36,0.9628,0.0372,665,6650,247,53.5,3851,72,0.69,MEDIUM,GOOD,True,True
PKR-61A13E8D,Teja,Rao,Teja Rao,M,20,+917275377858,teja04@gmail.com,TELUGU,HYD-DS-044,44,Chititra Medchal Dark Store,Chititra Medchal,North,FULL_TIME_REGULAR,PICKER,FULL_TIME,14:00,22:00,17,2023-07-10,ACTIVE,2024-12-02 18:00,18.7,119,99,0.9836,0.0164,26899,107596,1764,45.18,115297,2552,0.72,MEDIUM,GOOD,False,True
