rider_id,first_name,last_name,full_name,gender,age,phone_number,email,community,vehicle_type,vehicle_model,vehicle_number,engine_cc,home_store_id,home_store_node_id,home_store_name,service_zone,store_location,home_lat,home_lng,rider_segment,shift_type,shift_start,shift_end,experience_months,join_date,status,last_active,on_time_delivery_rate,order_acceptance_rate,cancellation_rate,avg_delivery_time_mins,customer_rating,total_orders_delivered,daily_avg_orders,total_earnings,avg_earnings_per_order,peak_hour_preference,weekend_availability,has_insulated_bag,has_rain_gear,knows_english,knows_hindi,knows_telugu
RDR-4B7DADA7,Naresh,Munnuru,Naresh Munnuru,M,21,+917187702108,naresh03@rediffmail.com,TELUGU,SCOOTER,Honda Activa 6G,TS07PK2040,110,HYD-DS-051,51,LB Nagar Dark Store,Southeast,LB Nagar,17.352797,78.559189,PART_TIME_STUDENT,PART_TIME,10:00,14:00,9,2024-03-06,ACTIVE,2024-12-03 03:00,0.835,0.842,0.051,16.6,4.1,3288,18,69161,21.03,NIGHT,False,True,False,True,True,True
RDR-2DF5CC24,Srikanth,Kapu,Srikanth Kapu,M,19,+917754939370,srikanth465@gmail.com,TELUGU,BIKE,Honda Shine,TS13NA7591,125,HYD-DS-016,16,Borabanda Dark Store,West,Borabanda,17.458381,78.439741,PART_TIME_STUDENT,PART_TIME,06:00,10:00,2,2024-10-02,ACTIVE,2024-12-03 23:00,0.778,0.759,0.131,15.0,4.03,392,13,10684,27.26,NIGHT,True,True,True,True,True,True
RDR-1EFBE5BB,Sowmya,Naidu,Sowmya Naidu,F,38,+919173768236,sowmya.naidu@gmail.com,TELUGU,BIKE,Bajaj Pulsar 125,TS10CK2210,125,HYD-DS-014,14,Kondapur Dark Store,West,Kondapur,17.462535,78.37242,FULL_TIME_EXPERIENCED,FULL_TIME,06:00,14:00,45,2021-03-22,STAR_PERFORMER,2024-12-02 22:00,0.939,0.948,0.039,10.1,4.72,33958,44,932102,27.45,MORNING,True,True,False,False,True,True
RDR-57FDBE87,Rahul,Sharma,Rahul Sharma,M,24,+917867619744,rahul800@yahoo.com,NORTH,BIKE,Hero HF Deluxe,TS14GR2757,100,HYD-DS-008,8,Adarsh Nagar Dark Store,Northwest,Adarsh Nagar,17.489288,78.411621,PART_TIME_EVENING,PART_TIME,20:00,00:00,5,2024-07-04,ACTIVE,2024-12-03 10:00,0.786,0.766,0.106,11.9,4.6,1489,16,33435,22.45,MORNING,False,True,True,False,True,True
RDR-189D1C8F,Anil,Nayak,Anil Nayak,M,32,+919789900586,anil92@gmail.com,TELUGU,BIKE,Bajaj Platina,TS10ND6711,100,HYD-DS-024,24,Attapur Dark Store,Southwest,Attapur,17.372998,78.435007,FULL_TIME_REGULAR,FULL_TIME,14:00,22:00,17,2023-07-10,ACTIVE,2024-12-02 07:00,0.861,0.825,0.041,15.8,4.54,7195,23,224238,31.17,EVENING,True,True,False,True,True,True
RDR-2F7DBFD2,Mohan,Velama,Mohan Velama,M,22,+917145060827,mohan863@gmail.com,TELUGU,BIKE,Honda Shine,TS10PA5049,125,HYD-DS-011,11,Gowlidoddy Dark Store,Northwest,Gowlidoddy,17.499272,78.41675,NEW_JOINER,FULL_TIME,12:00,20:00,2,2024-10-02,ACTIVE,2024-12-03 02:00,0.781,0.761,0.091,24.5,3.83,230,7,5917,25.73,NIGHT,True,True,False,False,True,True
RDR-94B7A13C,Rahul,Singh,Rahul Singh,M,34,+919150515035,rahul.singh@yahoo.com,NORTH,BIKE,Bajaj Pulsar 125,TS09BA2089,125,HYD-DS-030,30,King Koti Dark Store,Central,King Koti,17.399162,78.46436,PART_TIME_EVENING,PART_TIME,18:00,22:00,12,2023-12-07,ACTIVE,2024-12-03 14:00,0.78,0.778,0.067,15.4,4.17,5204,22,137765,26.47,MORNING,True,True,True,True,True,False
RDR-73F78F45,Shahid,Pasha,Shahid Pasha,M,26,+918739372653,shahid.pasha@rediffmail.com,MUSLIM,BIKE,Honda Shine,TS13EK8071,125,HYD-DS-036,36,Hill Colony Dark Store,Central,Hill Colony,17.430515,78.445988,FULL_TIME_EXPERIENCED,FULL_TIME,10:00,18:00,35,2022-01-16,ACTIVE,2024-12-02 06:00,0.973,0.882,0.024,12.7,4.43,17705,35,555388,31.37,NIGHT,True,True,False,False,True,True
RDR-173245F9,Lokesh,Naidu,Lokesh Naidu,M,25,+918497876657,lokesh99@gmail.com,TELUGU,BIKE,Hero Splendor Plus,TS13NL5689,100,HYD-DS-056,56,Madannapet Colony Dark Store,South,Madannapet Colony,17.349203,78.479823,FULL_TIME_REGULAR,FULL_TIME,14:00,22:00,22,2023-02-10,ACTIVE,2024-12-02 21:00,0.871,0.804,0.073,11.8,4.59,11912,32,369576,31.03,AFTERNOON,True,True,False,False,True,True
RDR-BF2DADEB,Manoj,Naidu,Manoj Naidu,M,34,+918212047958,manoj90@yahoo.com,TELUGU,SCOOTER,TVS Jupiter,TS14BE8663,110,HYD-DS-005,5,Balanagar Dark Store,Northwest,Balanagar,17.47996,78.448246,FULL_TIME_REGULAR,FULL_TIME,12:00,20:00,19,2023-05-11,ACTIVE,2024-12-02 23:00,0.88,0.907,0.079,15.6,4.6,9958,30,309311,31.06,NIGHT,True,False,False,False,True,True
RDR-3658BA76,Swathi,Kumar,Swathi Kumar,F,29,+917639223527,swathi.kumar@gmail.com,TELUGU,SCOOTER,Suzuki Access 125,TS08PU4834,125,HYD-DS-038,38,Alwal Dark Store,North,Alwal,17.504367,78.505073,FULL_TIME_REGULAR,FULL_TIME,14:00,22:00,11,2024-01-06,ACTIVE,2024-12-03 17:00,0.882,0.855,0.039,11.3,4.67,5441,31,125018,22.98,NIGHT,True,False,True,True,True,True
RDR-DD6FC90B,Gaurav,Thakur,Gaurav Thakur,M,23,+917421756032,gaurav.thakur@rediffmail.com,NORTH,SCOOTER,Honda Activa 6G,TS10XW5204,110,HYD-DS-053,53,Kothapet Dark Store,Southeast,Kothapet,17.392288,78.532409,NEW_JOINER,FULL_TIME,16:00,00:00,1,2024-11-01,ACTIVE,2024-12-03 12:00,0.796,0.725,0.11,16.6,4.22,167,8,3620,21.68,EVENING,True,True,False,True,True,False
RDR-216AE19B,Yellaiah,Rao,Yellaiah Rao,M,24,+919151724336,yellaiah566@rediffmail.com,TELUGU,SCOOTER,Honda Activa 6G,TS08MK3357,110,HYD-DS-026,26,Banjara Hills Dark Store,Central,Banjara Hills,17.419465,78.4448,FULL_TIME_REGULAR,FULL_TIME,14:00,22:00,18,2023-06-10,ACTIVE,2024-12-03 16:00,0.935,0.899,0.066,15.7,4.23,8260,25,278823,33.76,NIGHT,True,False,True,False,True,True
RDR-49A18897,Azhar,Shaikh,Azhar Shaikh,M,29,+917297972720,azhar.shaikh@gmail.com,MUSLIM,SCOOTER,Honda Activa 6G,TS11FW2264,110,HYD-DS-007,7,Moosapet Dark Store,Northwest,Moosapet,17.468512,78.414552,FULL_TIME_REGULAR,FULL_TIME,12:00,20:00,21,2023-03-12,ACTIVE,2024-12-03 08:00,0.911,0.909,0.078,12.3,4.24,11112,28,316682,28.5,AFTERNOON,True,True,True,True,True,True
RDR-0DAC8844,Salman,Pasha,Salman Pasha,M,35,+917464504899,salman89@yahoo.com,MUSLIM,BIKE,Bajaj Pulsar 125,TS08QG1454,125,HYD-DS-006,6,Hafeezpet Dark Store,Northwest,Hafeezpet,17.455817,78.383388,FULL_TIME_EXPERIENCED,FULL_TIME,10:00,18:00,45,2021-03-22,STAR_PERFORMER,2024-12-03 20:00,0.972,0.957,0.024,8.8,4.74,33287,44,951685,28.59,EVENING,False,True,False,False,True,True
RDR-C1069F4F,Khalid,Baig,Khalid Baig,M,20,+918565077581,khalid04@gmail.com,MUSLIM,SCOOTER,Honda Activa 6G,TS07BM5654,110,HYD-DS-039,39,Kompally Dark Store,North,Kompally,17.53894,78.495755,NEW_JOINER,FULL_TIME,07:00,15:00,0,2024-12-01,TRAINING,2024-11-30 00:00,0.71,0.787,0.192,24.1,3.89,0,15,0,26.11,EVENING,False,False,True,False,True,True
RDR-FF7DE530,Shahid,Shaikh,Shahid Shaikh,M,24,+919635254861,shahid644@yahoo.com,MUSLIM,BIKE,Bajaj Pulsar 125,TS14XU7946,125,HYD-DS-049,49,Peerzadiguda Dark Store,East,Peerzadiguda,17.464707,78.553634,NEW_JOINER,FULL_TIME,06:00,14:00,1,2024-11-01,PROBATION,2024-11-29 00:00,0.669,0.738,0.104,22.8,3.87,176,9,3423,19.45,MORNING,False,True,True,True,True,False
RDR-B1E66CD6,Pankaj,Sharma,Pankaj Sharma,M,24,+919710420040,pankaj.sharma@gmail.com,NORTH,SCOOTER,TVS Jupiter,TS09WQ8581,110,HYD-DS-023,23,Mehdipatnam Dark Store,Southwest,Mehdipatnam,17.405684,78.44425,PART_TIME_STUDENT,PART_TIME,18:00,22:00,5,2024-07-04,ACTIVE,2024-12-03 16:00,0.79,0.855,0.122,19.6,4.47,740,9,20128,27.2,AFTERNOON,True,True,True,False,True,False
RDR-803E83D6,Srinivas,Mudiraj,Srinivas Mudiraj,M,39,+918461973818,srinivas.mudiraj@gmail.com,TELUGU,BIKE,TVS Sport,TS08LN8786,110,HYD-DS-054,54,Meerpet Dark Store,Southeast,Meerpet,17.34642,78.570362,FULL_TIME_EXPERIENCED,FULL_TIME,16:00,00:00,48,2020-12-22,STAR_PERFORMER,2024-12-02 09:00,0.963,0.867,0.016,11.8,4.73,30020,39,817586,27.23,NIGHT,True,True,True,True,True,True
RDR-DA47C563,Pavan,Reddy,Pavan Reddy,M,41,+919048374453,pavan83@yahoo.com,TELUGU,SCOOTER,Hero Destini 125,TS10AB1096,125,HYD-DS-013,13,Madhapur Dark Store,West,Madhapur,17.446248,78.383193,PART_TIME_EVENING,PART_TIME,20:00,00:00,14,2023-10-08,ACTIVE,2024-12-02 08:00,0.893,0.827,0.105,15.3,4.38,2215,10,59898,27.04,NIGHT,False,False,True,False,True,True
RDR-A886AC50,Imran,Mirza,Imran Mirza,M,33,+917432416221,imran576@rediffmail.com,MUSLIM,SCOOTER,Suzuki Access 125,TS11TX7264,125,HYD-DS-024,24,Attapur Dark Store,Southwest,Attapur,17.369838,78.426199,FULL_TIME_REGULAR,FULL_TIME,06:00,14:00,24,2022-12-12,ACTIVE,2024-12-02 23:00,0.834,0.872,0.054,15.4,4.39,9622,27,257431,26.75,MORNING,True,True,True,False,True,False
RDR-1DEF1702,Sunil,Reddy,Sunil Reddy,M,34,+918142633170,sunil.reddy@gmail.com,TELUGU,BIKE,TVS Sport,TS11UF7985,110,HYD-DS-054,54,Meerpet Dark Store,Southeast,Meerpet,17.355301,78.557747,FULL_TIME_REGULAR,FULL_TIME,07:00,15:00,6,2024-06-04,STAR_PERFORMER,2024-12-02 19:00,0.935,0.876,0.033,15.9,4.6,2847,34,73414,25.79,AFTERNOON,True,True,True,False,True,True
RDR-CBB1D5FF,Mallesh,Rao,Mallesh Rao,M,23,+917516424929,mallesh529@gmail.com,TELUGU,BIKE,Hero Splendor Plus,TS14JX8732,100,HYD-DS-015,15,Jubilee Hills Dark Store,West,Jubilee Hills,17.442857,78.403942,FULL_TIME_REGULAR,FULL_TIME,06:00,14:00,19,2023-05-11,ACTIVE,2024-12-03 19:00,0.847,0.936,0.079,10.9,4.33,9691,33,338955,34.98,AFTERNOON,True,True,True,False,True,True
RDR-DE6EF4AF,Rashid,Shaikh,Rashid Shaikh,M,23,+917560668360,rashid.shaikh@gmail.com,MUSLIM,SCOOTER,Honda Activa 6G,TS08DW3674,110,HYD-DS-008,8,Adarsh Nagar Dark Store,Northwest,Adarsh Nagar,17.487885,78.401466,PART_TIME_EVENING,PART_TIME,14:00,18:00,17,2023-07-10,ACTIVE,2024-12-02 08:00,0.812,0.847,0.064,18.0,4.27,7052,19,220528,31.27,AFTERNOON,True,True,True,True,True,True
RDR-118382F1,Venkat,Kumar,Venkat Kumar,M,33,+919150946121,venkat468@gmail.com,TELUGU,BIKE,Hero HF Deluxe,TS13ZF6567,100,HYD-DS-055,55,Moosarambagh Dark Store,South,Moosarambagh,17.36739,78.495518,FULL_TIME_EXPERIENCED,FULL_TIME,14:00,22:00,30,2022-06-15,ACTIVE,2024-12-03 17:00,0.905,0.875,0.017,9.6,4.41,15203,28,534564,35.16,NIGHT,True,True,True,True,True,True
RDR-40079E79,Anwar,Syed,Anwar Syed,M,18,+918610843049,anwar06@gmail.com,MUSLIM,SCOOTER,TVS Jupiter,TS13GH1512,110,HYD-DS-046,46,Devar Yamjal Dark Store,Northeast (Rangareddy),Devar Yamjal,17.516507,78.566483,PART_TIME_STUDENT,PART_TIME,06:00,10:00,4,2024-08-03,ACTIVE,2024-12-03 14:00,0.794,0.751,0.145,14.3,4.43,599,9,12608,21.05,EVENING,True,True,True,True,True,True
RDR-4E380D51,Mohammed,Pasha,Mohammed Pasha,M,25,+917455581876,mohammed.pasha@gmail.com,MUSLIM,SCOOTER,Honda Activa 6G,TS13UY6411,110,HYD-DS-035,35,Jamal Colony Dark Store,Central,Jamal Colony,17.406748,78.453121,PART_TIME_STUDENT,PART_TIME,20:00,00:00,2,2024-10-02,ACTIVE,2024-12-03 10:00,0.875,0.838,0.107,15.3,4.16,588,16,14706,25.01,NIGHT,True,True,False,False,True,False
RDR-FFAF4AC0,Kiran,Kumar,Kiran Kumar,M,19,+918973473855,kiran.kumar@rediffmail.com,TELUGU,SCOOTER,Honda Activa 6G,TS13EG1417,110,HYD-DS-045,45,Dr. A.S. Rao Nagar Dark Store,Northeast,Dr. A.S. Rao Nagar,17.493639,78.554528,PART_TIME_STUDENT,PART_TIME,06:00,10:00,2,2024-10-02,ACTIVE,2024-12-03 12:00,0.852,0.769,0.129,17.8,4.44,582,17,16478,28.31,AFTERNOON,True,True,False,False,True,True
RDR-E5319604,Srinivas,Goud,Srinivas Goud,M,33,+919827510104,srinivas295@rediffmail.com,TELUGU,BIKE,Bajaj Platina,TS08PF8297,100,HYD-DS-017,17,Kothaguda Dark Store,West,Kothaguda,17.467207,78.381775,PART_TIME_EVENING,PART_TIME,10:00,14:00,13,2023-11-07,ACTIVE,2024-12-02 15:00,0.813,0.847,0.08,15.1,4.3,3341,13,104551,31.29,EVENING,True,True,True,False,True,True
RDR-1104D4D0,Kumar,Mudiraj,Kumar Mudiraj,M,19,+917253434492,kumar.mudiraj@rediffmail.com,TELUGU,SCOOTER,TVS Jupiter,TS08FC2660,110,HYD-DS-024,24,Attapur Dark Store,Southwest,Attapur,17.376977,78.433793,PART_TIME_STUDENT,PART_TIME,18:00,22:00,9,2024-03-06,ACTIVE,2024-12-02 05:00,0.824,0.838,0.107,15.6,4.05,2074,16,44593,21.5,EVENING,True,True,False,True,True,True
RDR-2F08B293,Gopal,Kamma,Gopal Kamma,M,20,+919421372328,gopal04@rediffmail.com,TELUGU,SCOOTER,TVS Jupiter,TS10UT3480,110,HYD-DS-027,27,Begumpet Dark Store,Central,Begumpet,17.447484,78.462155,NEW_JOINER,FULL_TIME,12:00,20:00,2,2024-10-02,ACTIVE,2024-12-03 09:00,0.721,0.736,0.096,17.1,3.84,448,14,8180,18.26,EVENING,True,True,True,False,True,True
RDR-479EF58D,Chandu,Chetty,Chandu Chetty,M,34,+918638567910,chandu293@yahoo.com,TELUGU,BIKE,Bajaj CT100,TS10HX8388,100,HYD-DS-036,36,Hill Colony Dark Store,Central,Hill Colony,17.421573,78.449207,FULL_TIME_REGULAR,FULL_TIME,10:00,18:00,7,2024-05-05,ACTIVE,2024-12-02 20:00,0.921,0.822,0.058,13.7,4.3,2969,25,71235,23.99,AFTERNOON,True,True,True,False,True,True
RDR-4966FDD2,Yogesh,Kapu,Yogesh Kapu,M,37,+919112320274,yogesh.kapu@yahoo.com,TELUGU,BIKE,Bajaj CT100,TS12AE8324,100,HYD-DS-051,51,LB Nagar Dark Store,Southeast,LB Nagar,17.347056,78.553459,FULL_TIME_EXPERIENCED,FULL_TIME,10:00,18:00,24,2022-12-12,STAR_PERFORMER,2024-12-02 10:00,0.972,0.856,0.019,12.1,4.78,17545,37,544762,31.05,AFTERNOON,False,False,False,False,True,True
RDR-F0A2CFE6,Murali,Yadav,Murali Yadav,M,34,+919672594024,murali90@gmail.com,TELUGU,BIKE,Bajaj Platina,TS12ZW3928,100,HYD-DS-018,18,Gachibowli Dark Store,Southwest,Gachibowli,17.437414,78.356689,FULL_TIME_EXPERIENCED,FULL_TIME,07:00,15:00,36,2021-12-17,STAR_PERFORMER,2024-12-02 16:00,0.943,0.935,0.038,10.5,4.54,32287,43,969388,30.02,AFTERNOON,True,True,True,True,True,True
RDR-6259B46A,Asif,Ansari,Asif Ansari,M,20,+918378191529,asif.ansari@yahoo.com,MUSLIM,BIKE,TVS Sport,TS10DG7435,110,HYD-DS-038,38,Alwal Dark Store,North,Alwal,17.506794,78.513837,FULL_TIME_REGULAR,FULL_TIME,12:00,20:00,23,2023-01-11,ACTIVE,2024-12-03 13:00,0.868,0.857,0.031,11.2,4.31,10976,26,304279,27.72,NIGHT,True,True,False,False,True,False
RDR-3253C060,Nagesh,Kapu,Nagesh Kapu,M,28,+918292525355,nagesh.kapu@gmail.com,TELUGU,SCOOTER,Honda Activa 6G,TS08FB7544,110,HYD-DS-018,18,Gachibowli Dark Store,Southwest,Gachibowli,17.446246,78.341989,FULL_TIME_REGULAR,FULL_TIME,12:00,20:00,23,2023-01-11,STAR_PERFORMER,2024-12-03 04:00,0.94,0.902,0.094,13.8,4.55,8809,22,274650,31.18,NIGHT,True,False,True,True,True,True
RDR-6D091299,Ramu,Kamma,Ramu Kamma,M,22,+917032629640,ramu450@gmail.com,TELUGU,BIKE,Honda Shine,TS12HD8910,125,HYD-DS-044,44,Chititra Medchal Dark Store,North,Chititra Medchal,17.557419,78.47461,FULL_TIME_REGULAR,FULL_TIME,07:00,15:00,17,2023-07-10,ACTIVE,2024-12-02 08:00,0.862,0.917,0.075,11.5,4.59,5126,23,142963,27.89,NIGHT,True,True,False,True,True,True
RDR-8846D3F7,Irfan,Qureshi,Irfan Qureshi,M,26,+918235952686,irfan98@gmail.com,MUSLIM,SCOOTER,Hero Destini 125,TS11GM7408,125,HYD-DS-021,21,Kokapet Dark Store,Southwest,Kokapet,17.413369,78.353804,FULL_TIME_REGULAR,FULL_TIME,10:00,18:00,15,2023-09-08,ACTIVE,2024-12-02 06:00,0.88,0.908,0.071,15.4,4.55,8995,34,230328,25.61,NIGHT,False,True,False,False,True,True
RDR-F990282C,Yogesh,Goud,Yogesh Goud,M,31,+918874856889,yogesh93@yahoo.com,TELUGU,BIKE,Hero HF Deluxe,TS10NZ6679,100,HYD-DS-041,41,Anjaiah Nagar Dark Store,North,Anjaiah Nagar,17.501578,78.469004,FULL_TIME_REGULAR,FULL_TIME,16:00,00:00,13,2023-11-07,ACTIVE,2024-12-03 09:00,0.861,0.884,0.083,16.0,4.35,6732,31,165733,24.62,EVENING,True,True,True,False,True,True
RDR-DDE9040D,Imran,Qureshi,Imran Qureshi,M,22,+919879607600,imran.qureshi@rediffmail.com,MUSLIM,BIKE,Bajaj CT100,TS13EY1804,100,HYD-DS-025,25,Ameerpet Dark Store,Central,Ameerpet,17.437368,78.446281,PART_TIME_STUDENT,PART_TIME,18:00,22:00,7,2024-05-05,ACTIVE,2024-12-04 00:00,0.861,0.87,0.138,12.6,4.23,1507,16,30603,20.31,AFTERNOON,True,True,True,True,True,True
RDR-AD20F313,Sunil,Rao,Sunil Rao,M,33,+917515347643,sunil.rao@gmail.com,TELUGU,BIKE,TVS Sport,TS11CT2405,110,HYD-DS-013,13,Madhapur Dark Store,West,Madhapur,17.449877,78.400039,FULL_TIME_REGULAR,FULL_TIME,06:00,14:00,15,2023-09-08,ACTIVE,2024-12-03 17:00,0.859,0.851,0.084,13.4,4.35,8113,35,269606,33.23,AFTERNOON,True,True,True,False,True,True
RDR-BC797B72,Suresh,Goud,Suresh Goud,M,26,+917162105063,suresh.goud@gmail.com,TELUGU,SCOOTER,Honda Activa 6G,TS14NU5334,110,HYD-DS-038,38,Alwal Dark Store,North,Alwal,17.504432,78.503261,NEW_JOINER,FULL_TIME,16:00,00:00,2,2024-10-02,PROBATION,2024-11-28 00:00,0.702,0.709,0.183,17.8,4.23,313,8,6143,19.63,MORNING,False,True,True,True,True,True
RDR-56136201,Salman,Mirza,Salman Mirza,M,30,+919460926778,salman736@yahoo.com,MUSLIM,SCOOTER,Hero Destini 125,TS13SM7472,125,HYD-DS-050,50,Whitefield Dark Store,East,Whitefield,17.430184,78.51746,FULL_TIME_EXPERIENCED,FULL_TIME,14:00,22:00,47,2021-01-21,ACTIVE,2024-12-02 11:00,0.959,0.946,0.022,10.0,4.49,27434,33,944821,34.44,MORNING,True,True,False,True,True,True
RDR-874A4B55,Sunil,Setty,Sunil Setty,M,34,+917673724832,sunil182@yahoo.com,TELUGU,SCOOTER,Suzuki Access 125,TS13NE4006,125,HYD-DS-003,3,Kukatpally Dark Store,Northwest,Kukatpally,17.496544,78.388325,FULL_TIME_REGULAR,FULL_TIME,12:00,20:00,18,2023-06-10,ACTIVE,2024-12-02 11:00,0.897,0.883,0.08,16.0,4.33,12182,34,425058,34.89,NIGHT,True,True,True,False,True,True
RDR-E69CF054,Balu,Padmashali,Balu Padmashali,M,40,+917282933308,balu84@yahoo.com,TELUGU,BIKE,Honda Shine,TS11SF7549,125,HYD-DS-052,52,Dilsukhnagar Dark Store,Southeast,Dilsukhnagar,17.377855,78.521722,FULL_TIME_EXPERIENCED,FULL_TIME,07:00,15:00,41,2021-07-20,STAR_PERFORMER,2024-12-03 06:00,0.954,0.852,0.027,13.5,4.56,18565,28,665601,35.85,EVENING,True,True,True,True,True,True
RDR-DC4C44E1,Vinod,Kapu,Vinod Kapu,M,20,+918267049814,vinod04@rediffmail.com,TELUGU,BIKE,Hero HF Deluxe,TS10RG8532,100,HYD-DS-008,8,Adarsh Nagar Dark Store,Northwest,Adarsh Nagar,17.490843,78.4047,PART_TIME_STUDENT,PART_TIME,20:00,00:00,4,2024-08-03,ACTIVE,2024-12-03 08:00,0.833,0.8,0.118,18.3,4.2,888,14,23033,25.94,EVENING,False,False,True,True,True,True
RDR-111396EE,Shahid,Mirza,Shahid Mirza,M,22,+917280773655,shahid02@yahoo.com,MUSLIM,ELECTRIC_SCOOTER,Ola S1,TS12BR7255,0,HYD-DS-019,19,Manikonda Dark Store,Southwest,Manikonda,17.399293,78.394796,FULL_TIME_REGULAR,FULL_TIME,06:00,14:00,14,2023-10-08,ACTIVE,2024-12-02 18:00,0.911,0.826,0.073,15.3,4.29,7242,31,166324,22.97,NIGHT,True,True,True,False,True,False
